,pine,swg
GWA,7.97E+02,5.98E+03
AA,5.26E+00,3.94E+01
PA,1.40E-01,1.05E+00
EA,3.33E-01,2.49E+00
SA,1.89E+02,8.11E+03
HHC,0.00E+00,0.00E+00
HHNC,0.00E+00,4.11E-04
